naam gebied (voormalig deelgemeente);wijknr;BUURT;Fysieke Index;Fysieke Index -subjectief;Fysieke Index -objectief;Vastgoed objectief;Openbare Ruimte objectief;Voorzieningen objectief;Milieu objectief;% kwetsbare meergezinswoningen;% kleine eengezinswoningen;gemiddelde WOZ per m2 woningoppervlakte;% woningen in funderingsrisicogebied;% leegstaande woningen;% woningen met overbezetting;% woningen met onderbezetting;vraagdruk sociale huurwoningen;gemiddelde looptijd (dagen) per verkooptransactie koopwoningen;% tevreden over onderhoud eigen woning;% tevreden over onderhoud naastgelegen woningen;% tevreden over onderhoud bebouwing buurt;% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);aantal verkeersongevallen per duizend inwoners;% verkooppunten directe risicobranches;% verkooppunten met leegstand;% woningen met bakker binnen normafstand;% woningen met groenteboer binnen normafstand;% woningen met slager binnen normafstand;% woningen met drogist binnen normafstand;aantal bakkers ;aantal groenteboeren ;aantal slagers ;aantal drogisten ;% woningen met gymzaal binnen normafstand;% woningen met sporthal binnen normafstand;% woningen met zwembad binnen normafstand;% woningen met voetbalveld binnen normafstand;aantal gymzalen ;aantal sporthallen ;aantal zwembaden ;aantal voetbalvelden ;% woningen met speeltuin binnen normafstand;% woningen met TOS/Duimdrop binnen normafstand;aantal speeltuinen ;aantal TOS/Duimdrop ;% woningen met basisscholen binnen normafstand;% woningen met VMBO scholen binnen normafstand;% woningen met HAVO VWO scholen binnen normafstand;aantal basisscholen ;aantal VMBO scholen ;aantal HAVO VWO scholen ;% woningen met tandartspraktijk binnen normafstand;% woningen met fysiotherapeut binnen normafstand;% woningen met huisartspraktijk binnen normafstand;% woningen met apotheek binnen normafstand;aantal tandartspraktijken ;aantal fysiotherapeuten ;aantal huisartspraktijken ;aantal apotheken ;% woningen met bushaltes binnen normafstand;% woningen met metrostations binnen normafstand;% woningen met tramhaltes binnen normafstand;aantal bushaltes ;aantal metrostations ;aantal tramhaltes ;gemiddelde NO2-concentratie 2009 irt grenswaarde 40 µg/m3;% woningen in geluidscontour vanaf 55 dB
Hoogvliet;92;Hoogvliet-noord;107;109;106;122;102;75;124;11%;7%;1461;1%;5%;6%;78%;195;177;74%;61%;60%;0%;27%;4%;6%;3%;12%;9%;2%;4%;13;0%;17%;30%;30%;30%;34%;0,5;0,5;0,5;0,6;17%;22%;69%;52%;0,3;0,2;0,7;0,5;57%;0%;0,8;0;53%;51%;1%;0,5;0,5;0;63%;51%;27%;64%;0,9;1;1,2;0,8;81%;40%;0%;1,5;0,8;0;67%;65%
Hoogvliet;99;Hoogvliet-zuid;119;118;120;127;109;84;160;8%;3%;1407;0%;2%;4%;83%;45;148;70%;59%;62%;1%;17%;10%;11%;4%;16%;7%;3%;6%;3;0%;19%;38%;41%;40%;42%;0,9;0,7;0,9;1,3;42%;92%;43%;96%;0,6;1,4;0,4;1;48%;0%;0,6;0;39%;69%;87%;0,5;1,3;0,9;60%;58%;53%;62%;0,7;1;1;0,6;85%;98%;0%;1,3;2,1;0;60%;37%
Hoogvliet;4011;Hoogvliet;114;114;114;123;105;82;147;9%;4%;1426;1%;3%;5%;81%;73;161;72%;59%;62%;1%;22%;7%;9%;4%;14%;8%;3%;5%;7;0%;18%;35%;37%;36%;39%;0,7;0,6;0,8;1;33%;67%;53%;80%;0,5;1;0,5;0,8;51%;0%;0,7;0;44%;62%;56%;0,5;1;0,6;61%;56%;44%;63%;0,8;1;1,1;0,7;84%;77%;0%;1,4;1,6;0;64%;47%
IJsselmonde;83;Oud IJsselmonde;104;108;100;117;119;61;101;12%;3%;1748;25%;7%;8%;73%;403;327;75%;70%;68%;0%;15%;2%;0%;0%;10%;5%;0%;1%;35;0%;1%;0%;0%;0%;0%;0;0;0;0;28%;36%;17%;72%;0,3;0,4;0,2;1,4;66%;98%;0,8;5,8;18%;0%;0%;0,2;0;0;39%;30%;0%;0%;0,7;0,3;0;0;82%;0%;100%;1,3;0;12,5;72%;74%
IJsselmonde;84;Lombardijen;103;92;114;94;138;93;131;36%;6%;1495;13%;4%;6%;80%;67;286;56%;43%;38%;2%;14%;0%;1%;1%;27%;3%;0%;0%;9;0%;6%;34%;37%;37%;38%;1,1;0,9;1,2;1;39%;99%;0%;94%;0,7;2;0;2,6;100%;100%;1,8;3,5;38%;69%;77%;0,6;0,9;0,9;70%;53%;53%;64%;1,1;1,2;0,7;0,7;79%;0%;100%;1,3;0;10,1;71%;50%
IJsselmonde;90;Beverwaard;95;85;104;109;124;64;120;28%;1%;1338;0%;3%;7%;73%;144;210;63%;48%;44%;0%;25%;2%;5%;16%;45%;9%;2%;1%;3;0%;18%;27%;28%;29%;31%;0,5;0,3;0,5;0,6;50%;0%;0%;0%;0,6;0;0;0;47%;99%;0,5;1,8;48%;0%;0%;1;0;0;52%;29%;34%;42%;0,5;0,3;0,3;0,4;34%;0%;100%;0,4;0;12,3;69%;64%
IJsselmonde;1009;Groot IJsselmonde-Noord;109;103;115;108;152;90;108;14%;11%;1611;36%;3%;5%;81%;194;257;58%;48%;44%;4%;10%;0%;0%;0%;13%;2%;0%;0%;3;0%;6%;36%;37%;38%;36%;1,3;1,1;1,4;1,8;57%;31%;83%;55%;1;0,3;0,8;1,8;88%;100%;1,3;4,1;35%;96%;13%;0,5;1,9;0,1;78%;32%;42%;38%;1,3;0,4;0,7;0,4;75%;0%;100%;1,2;0;16,7;69%;74%
IJsselmonde;1010;Groot IJsselmonde-Zuid;109;107;111;105;123;87;127;34%;4%;1447;18%;5%;5%;79%;194;312;65%;53%;51%;0%;18%;0%;1%;6%;30%;3%;0%;3%;17;0%;9%;44%;33%;32%;36%;0,6;0,4;0,4;0,6;65%;64%;28%;47%;1;0,7;0,3;1,7;74%;100%;0,8;3,3;43%;93%;56%;0,5;1,9;0,6;52%;31%;51%;56%;0,7;0,3;0,9;0,7;83%;0%;100%;1,1;0;13,8;69%;57%
IJsselmonde;4008;IJsselmonde;103;98;108;103;125;87;119;27%;5%;1504;18%;4%;6%;78%;133;284;62%;50%;47%;1%;16%;1%;1%;5%;25%;4%;1%;1%;11;0%;7%;33%;31%;31%;32%;0,8;0,6;0,8;0,9;51%;51%;27%;54%;0,8;0,8;0,3;1,6;78%;100%;1,1;3,5;39%;63%;36%;0,6;1,1;0,4;61%;36%;41%;46%;0,9;0,5;0,6;0,5;72%;0%;100%;1,1;0;13,2;70%;62%
Kralingen-Crooswijk;14;Rubroek;101;93;110;111;134;117;79;22%;0%;1811;4%;3%;6%;81%;109;157;48%;38%;38%;2%;7%;0%;0%;5%;25%;2%;1%;3%;4;0%;12%;81%;78%;85%;82%;2;1,5;1,9;2;92%;100%;100%;42%;2,1;3;1,2;0,8;35%;100%;0,5;19,9;59%;100%;100%;1,2;2,6;2,7;100%;99%;92%;84%;4,8;3;4,4;1;59%;100%;100%;1;4;38,6;82%;69%
Kralingen-Crooswijk;36;Nieuw Crooswijk;100;98;101;102;106;104;92;39%;0%;1516;80%;9%;5%;73%;139;176;58%;56%;45%;0%;23%;0%;2%;0%;29%;9%;6%;1%;18;0%;5%;64%;47%;47%;47%;1,1;0,5;0,5;0,5;2%;100%;87%;100%;0;2,1;0,9;2,1;100%;100%;1,5;14,3;68%;100%;100%;0,8;3;1,9;60%;100%;100%;18%;0,6;3,1;3,4;0,2;100%;1%;100%;2,7;0;21,3;77%;69%
Kralingen-Crooswijk;37;Oud Crooswijk;96;86;105;99;114;116;93;42%;0%;1580;37%;3%;11%;74%;205;164;48%;34%;35%;0%;24%;2%;0%;5%;51%;8%;3%;2%;8;2%;2%;68%;63%;69%;63%;2,4;1,3;2,4;1,8;50%;100%;97%;100%;0,9;3;1,7;2;100%;100%;1,8;16,6;98%;100%;100%;1,7;3,5;3,1;87%;78%;89%;80%;1,3;1,2;2,9;0,9;76%;94%;100%;1;1,8;29,2;80%;62%
Kralingen-Crooswijk;41;Kralingen-west;115;115;116;108;112;116;127;27%;0%;1848;63%;4%;8%;75%;137;137;51%;45%;48%;2%;17%;1%;6%;4%;36%;8%;3%;3%;6;1%;4%;88%;87%;86%;87%;3,3;2,4;2,8;2,5;75%;100%;100%;94%;1,4;1,5;1,8;1,7;76%;100%;0,9;15,8;36%;96%;100%;0,5;3,3;3,7;99%;99%;84%;61%;5,3;4,9;4,1;1;38%;100%;100%;0,5;3,3;24,5;75%;44%
Kralingen-Crooswijk;45;De Esch;113;117;110;121;115;78;125;14%;0%;1791;0%;3%;4%;80%;43;168;58%;53%;59%;0%;25%;0%;0%;2%;32%;11%;1%;3%;11;0%;0%;31%;31%;31%;31%;0,3;0,3;0,3;0,3;0%;88%;0%;100%;0;1,4;0;1,8;44%;100%;0,4;8,8;35%;0%;0%;0,3;0;0;49%;40%;42%;40%;0,5;0,4;0,4;0,4;3%;16%;100%;0;0,2;15,4;71%;53%
Kralingen-Crooswijk;47;Struisenburg;106;122;90;117;77;101;65;8%;0%;2094;31%;9%;4%;75%;78;233;70%;67%;64%;8%;36%;7%;21%;14%;39%;9%;4%;6%;19;0%;4%;44%;46%;45%;46%;0,5;0,6;0,6;0,6;19%;100%;46%;88%;0,2;1,8;0,5;1;56%;100%;0,6;14,5;14%;56%;80%;0,1;0,7;1,5;100%;77%;78%;61%;4,3;1,5;1;0,6;78%;100%;100%;0,8;2,8;24;83%;80%
Kralingen-Crooswijk;3005;Kralingen Oost/Kralingse Bos;132;140;124;127;132;110;127;11%;1%;2616;78%;7%;4%;77%;128;166;71%;67%;83%;0%;21%;1%;0%;1%;13%;2%;1%;0%;16;0%;2%;51%;46%;48%;46%;1,7;1,4;1,7;1,2;66%;98%;24%;100%;1;1,5;0,3;1,1;42%;99%;0,4;10,1;57%;83%;84%;1;1,7;1,7;89%;64%;79%;70%;5,5;1,3;4,4;0,9;63%;99%;99%;0,7;2,4;18,3;73%;48%
Kralingen-Crooswijk;4005;Kralingen-Crooswijk;111;110;112;111;113;111;112;24%;0%;1897;43%;5%;7%;76%;137;165;56%;49%;51%;1%;20%;1%;2%;4%;32%;6%;2%;2%;10;1%;5%;68%;65%;67%;66%;2,1;1,5;1,8;1,6;56%;99%;74%;88%;1,1;2;1,1;1,5;65%;100%;0,9;15;52%;83%;87%;0,8;2,5;2,5;89%;84%;82%;64%;3,8;2,7;3,3;0,8;55%;85%;100%;0,8;2,5;25,6;74%;58%
Noord;15;Agniesebuurt;98;90;107;104;126;118;81;29%;1%;1597;65%;5%;8%;74%;231;76;52%;38%;28%;3%;4%;10%;4%;6%;16%;3%;1%;0%;19;0%;6%;97%;91%;90%;92%;3,4;2,8;3,6;3,2;100%;100%;84%;0%;1,2;1,7;0,8;0;82%;100%;0,8;16,5;24%;100%;100%;0,4;5,4;2,1;94%;89%;92%;76%;6,3;1,9;3,6;0,9;74%;100%;100%;0,8;2,8;37,1;83%;66%
Noord;16;Provenierswijk;104;99;109;108;117;119;91;24%;0%;1694;95%;6%;7%;73%;224;121;58%;40%;40%;4%;16%;7%;11%;14%;20%;10%;2%;0%;6;2%;2%;100%;100%;100%;100%;2,3;2,2;2,1;2,3;86%;100%;100%;0%;1,2;1,9;1,5;0;100%;100%;1,5;18,1;45%;100%;100%;0,8;6,6;6,2;100%;98%;97%;56%;8,5;3;3,3;0,6;46%;100%;100%;0,9;3,1;37,4;83%;56%
Noord;31;Bergpolder;109;108;109;104;134;112;88;57%;0%;1637;95%;5%;5%;78%;163;153;51%;43%;45%;0%;18%;7%;6%;9%;21%;1%;1%;1%;8;0%;12%;91%;94%;93%;93%;3,7;3,3;3,3;3,6;18%;100%;100%;45%;0,2;1,1;1;0,4;33%;100%;0,3;7,8;53%;100%;74%;0,8;3,4;1,4;98%;99%;100%;100%;4,7;4,2;6,1;1,5;16%;100%;100%;0,2;1,5;23,3;88%;48%
Noord;34;Liskwartier;107;106;107;107;122;109;90;25%;0%;1752;95%;5%;8%;76%;158;151;53%;47%;45%;1%;12%;5%;5%;5%;21%;3%;0%;2%;13;1%;8%;83%;91%;66%;67%;3,7;3,4;2,9;2,7;71%;100%;80%;52%;1,3;1,9;0,8;0,5;84%;100%;1,3;9;87%;72%;12%;1,1;2,4;0,1;99%;100%;100%;100%;2,3;2,6;6,5;2,1;61%;48%;100%;0,7;0,6;24,5;83%;57%
Noord;35;Oude Noorden;96;89;103;92;112;109;98;34%;0%;1486;80%;5%;10%;71%;169;204;52%;43%;36%;3%;19%;4%;8%;26%;42%;6%;2%;0%;11;2%;11%;89%;88%;87%;89%;5,7;4,2;4,6;4,8;94%;100%;21%;31%;1,6;2,1;0,2;0,4;87%;100%;1,5;15,7;83%;84%;62%;1,7;3,1;0,7;59%;74%;97%;83%;1,5;1,8;3,1;1,3;63%;43%;100%;0,8;1;31,3;82%;52%
Noord;3011;Blijdorp/Blijdorpsepolder;121;129;112;123;109;111;104;12%;0%;1915;80%;5%;3%;84%;40;125;62%;55%;65%;1%;11%;4%;8%;9%;16%;4%;2%;1%;23;2%;10%;71%;78%;76%;77%;1,2;1,6;1,5;1,4;83%;100%;100%;80%;1,2;1,5;1,4;1;65%;100%;0,8;12,1;61%;100%;100%;1;4,1;6,1;98%;84%;100%;77%;4,9;2,2;4,6;1;63%;100%;100%;1;1,9;26,2;82%;47%
Noord;4003;Noord;106;104;108;107;117;112;96;31%;0%;1665;85%;5%;7%;76%;176;145;55%;45%;44%;2%;14%;6%;7%;13%;24%;4%;1%;1%;14;2%;10%;86%;89%;84%;85%;3,7;3,1;3,2;3,3;75%;100%;71%;42%;1,2;1,7;0,8;0,5;73%;100%;1;12,8;66%;91%;71%;1,1;3,7;2,5;86%;87%;98%;84%;3,9;2,5;4,5;1,3;54%;75%;100%;0,7;1,6;28,8;83%;52%
Overschie;51;Kleinpolder;98;102;94;112;75;85;102;36%;0%;1576;9%;4%;6%;82%;131;196;55%;50%;49%;0%;31%;10%;14%;6%;41%;10%;5%;10%;18;0%;9%;54%;59%;57%;58%;1,5;1,5;1,5;1,3;80%;8%;100%;100%;1,2;0,1;1;3,9;55%;36%;0,5;1,2;51%;0%;0%;0,5;0;0;73%;48%;37%;86%;1,9;0,9;2;0,9;83%;2%;65%;1,5;0;1,3;73%;69%
Overschie;56;Overschie;99;103;95;105;98;71;107;30%;3%;1724;78%;6%;7%;73%;435;254;57%;49%;51%;2%;24%;2%;3%;3%;14%;9%;4%;9%;8;0%;7%;42%;15%;15%;36%;0,7;0,3;0,4;0,8;26%;5%;57%;100%;0,5;0;0,6;2,6;86%;1%;1,2;0;22%;0%;0%;0,2;0;0;53%;58%;50%;11%;1,1;1,7;0,9;0,1;73%;4%;10%;1,4;0;0,2;70%;72%
Overschie;3006;NoordKethel/Schieveen/Zestienhoven;111;124;99;124;65;62;146;0%;21%;2218;30%;3%;8%;71%;98;184;75%;70%;75%;6%;30%;5%;7%;2%;20%;7%;5%;13%;35;0%;0%;0%;0%;0%;0%;0;0;0;0;0%;20%;8%;85%;0;0,2;0,1;2;31%;10%;0,4;0,1;20%;0%;5%;0,4;0;0;36%;6%;30%;1%;0,4;0,1;0,3;0;21%;45%;56%;0,3;0,7;2,9;56%;48%
Overschie;4002;Overschie;102;105;98;109;80;79;124;29%;4%;1714;40%;4%;7%;77%;261;234;58%;53%;53%;3%;28%;5%;7%;3%;24%;8%;5%;11%;17;0%;7%;42%;34%;33%;42%;1;0,8;0,9;0,9;48%;8%;71%;98%;0,7;0,1;0,7;3,1;64%;19%;0,8;0,6;36%;0%;1%;0,4;0;0;60%;46%;41%;45%;1,4;1,1;1,3;0,5;71%;8%;42%;1,3;0,1;1,1;59%;67%
Pernis;91;Pernis;105;117;93;106;101;79;85;0%;28%;1634;36%;3%;6%;78%;38;247;71%;55%;57%;4%;13%;6%;9%;12%;8%;11%;6%;7%;3;0%;0%;37%;40%;42%;60%;0,7;0,4;0,8;0,8;43%;0%;100%;100%;0,4;0;1;2;59%;0%;0,6;0;38%;0%;0%;0,6;0;0;0%;59%;43%;0%;0;1,4;1,3;0;84%;100%;0%;2,3;1;0;76%;78%
Pernis;4010;Pernis;105;117;93;106;101;79;85;0%;28%;1634;36%;3%;6%;78%;38;247;71%;55%;57%;4%;13%;6%;9%;12%;8%;11%;6%;7%;3;0%;0%;37%;40%;42%;60%;0,7;0,4;0,8;0,8;43%;0%;100%;100%;0,4;0;1;2;59%;0%;0,6;0;38%;0%;0%;0,6;0;0;0%;59%;43%;0%;0;1,4;1,3;0;84%;100%;0%;2,3;1;0;76%;78%
Prins Alexander;44;s-Gravenland;130;149;110;135;93;80;133;0%;0%;2427;11%;3%;4%;80%;54;274;81%;76%;80%;4%;23%;8%;3%;6%;19%;8%;2%;9%;11;0%;11%;41%;45%;44%;45%;0,5;0,4;0,6;0,6;18%;42%;26%;53%;0,2;0,4;0,3;0,5;31%;1%;0,3;0;32%;13%;5%;0,7;0,2;0;77%;64%;75%;19%;1,3;1,1;1,6;0,2;60%;100%;37%;1,2;2,4;1;70%;50%
Prins Alexander;46;Kralingseveer;115;120;110;113;122;65;141;7%;21%;1627;21%;5%;8%;71%;336;158;73%;46%;49%;4%;27%;0%;2%;7%;18%;0%;1%;0%;38;0%;0%;81%;89%;88%;89%;0,8;0,9;0,9;0,9;0%;0%;0%;100%;0;0;0;1;100%;98%;1;1;0%;0%;0%;0;0;0;0%;0%;0%;0%;0;0;0;0;0%;83%;20%;0;0,8;0,2;77%;31%
Prins Alexander;48;Prinsenland;121;128;115;133;103;95;129;9%;0%;1888;4%;2%;3%;84%;96;163;63%;65%;60%;2%;17%;8%;3%;9%;32%;8%;3%;6%;7;0%;0%;20%;22%;21%;22%;0,5;0,4;0,5;0,4;53%;100%;99%;100%;0,9;1;1;1,8;83%;0%;0,9;0;40%;67%;73%;0,4;2,1;1,6;60%;22%;43%;36%;1;0,6;0,9;0,4;94%;70%;27%;1,6;2,1;0,3;68%;56%
Prins Alexander;49;Het Lage Land;112;119;106;118;104;99;101;14%;0%;1589;5%;4%;4%;81%;131;198;59%;52%;52%;8%;9%;4%;2%;2%;24%;12%;1%;5%;11;0%;4%;44%;47%;48%;48%;1,4;1,2;1,2;1,4;58%;86%;64%;96%;0,9;1,3;0,6;1,9;79%;0%;0,8;0;30%;90%;81%;0,3;3,2;2,3;93%;86%;75%;78%;2,1;2,1;1,7;0,8;84%;83%;0%;1,3;2,3;0;73%;71%
Prins Alexander;63;Ommoord;122;119;125;133;122;92;152;1%;0%;1609;13%;3%;2%;86%;119;147;63%;55%;60%;2%;15%;6%;4%;3%;21%;10%;0%;2%;5;0%;5%;45%;48%;48%;48%;1,4;1,2;1,2;1,9;39%;95%;1%;51%;0,4;1,2;0;0,8;53%;62%;0,5;0,6;41%;30%;41%;0,5;0,3;0,4;56%;74%;73%;66%;1,2;1,9;1,5;0,8;63%;100%;0%;1;4;0;67%;41%
Prins Alexander;66;Zevenkamp;113;106;120;131;112;89;148;9%;0%;1542;0%;2%;5%;78%;242;130;66%;56%;48%;4%;30%;6%;10%;8%;35%;10%;3%;1%;5;0%;4%;35%;39%;38%;39%;0,7;0,7;0,7;0,9;57%;100%;99%;84%;0,6;1;1;1,4;69%;100%;0,7;1;54%;55%;67%;0,5;0,5;0,7;50%;55%;9%;47%;0,6;0,8;0,2;0,5;47%;100%;0%;0,9;3,4;0;66%;46%
Prins Alexander;67;Oosterflank;112;109;115;119;115;96;131;14%;0%;1534;0%;2%;5%;80%;140;182;55%;53%;46%;5%;25%;5%;6%;5%;35%;12%;1%;1%;8;0%;5%;52%;55%;55%;56%;1;0,7;0,9;1,7;84%;100%;29%;100%;1,5;1,6;0,3;1,4;36%;0%;0,4;0;40%;100%;100%;0,9;3,9;3,9;60%;66%;91%;47%;1;1,2;1,8;0,5;79%;100%;0%;1,6;3,2;0;70%;50%
Prins Alexander;68;Nesselande;135;149;121;122;134;70;159;0%;2%;2450;3%;3%;10%;65%;0;201;85%;85%;84%;3%;27%;1%;2%;9%;21%;2%;1%;2%;2;0%;2%;18%;18%;18%;18%;0,5;0,3;0,3;0,7;33%;8%;7%;0%;0,3;0,1;0,1;0;0%;7%;0;0,1;22%;0%;0%;0,3;0;0;76%;62%;73%;40%;1,1;0,9;1;0,4;61%;96%;0%;0,9;1,3;0;58%;38%
Prins Alexander;4006;Prins Alexander;120;122;119;128;111;92;144;6%;1%;1761;6%;3%;4%;81%;147;177;66%;60%;59%;4%;22%;5%;5%;6%;27%;9%;1%;3%;7;0%;5%;39%;42%;41%;42%;1;0,8;0,9;1,3;48%;82%;42%;69%;0,7;1;0,4;1,1;54%;36%;0,6;0,4;38%;49%;54%;0,5;1,3;1,2;63%;62%;61%;52%;1,1;1,3;1,2;0,6;67%;94%;6%;1,2;3;0,1;66%;49%
Rotterdam Centrum;10;Stadsdriehoek;109;117;102;133;115;106;53;9%;0%;2293;0%;8%;3%;78%;234;146;64%;56%;61%;1%;8%;5%;6%;2%;5%;3%;1%;1%;25;1%;6%;92%;93%;92%;94%;3,4;2,5;3,1;3,3;35%;63%;51%;0%;0,4;0,8;0,5;0;0%;100%;0;20,8;14%;32%;89%;0,3;0,6;1,2;100%;76%;100%;65%;7;1,5;5,1;1;83%;100%;100%;1,3;5,8;44;89%;78%
Rotterdam Centrum;11;Oude Westen;95;83;106;113;119;123;70;30%;0%;1517;89%;5%;9%;74%;300;90;56%;50%;42%;1%;8%;3%;5%;3%;13%;6%;1%;1%;15;2%;3%;97%;97%;98%;97%;5,3;2,9;4,9;4,1;83%;100%;100%;0%;1,2;1;1;0;85%;100%;1;18,9;73%;100%;100%;1,4;2,1;7,4;100%;88%;94%;95%;3,9;1,8;6,3;1,2;61%;100%;100%;1,6;5,8;42,4;88%;64%
Rotterdam Centrum;12;Cool;102;101;103;116;118;110;69;8%;0%;2073;58%;14%;3%;70%;217;82;56%;48%;51%;0%;5%;3%;7%;1%;4%;3%;0%;1%;37;1%;7%;100%;99%;99%;100%;3,2;2,8;2,4;4,1;28%;72%;64%;0%;0,3;0,7;0,6;0;56%;100%;0,6;17,9;28%;73%;100%;0,5;1,3;3,4;100%;96%;78%;92%;4;2,6;1,5;1,3;55%;100%;100%;0,8;6,6;44,7;89%;62%
Rotterdam Centrum;13;CS-kwartier;113;129;98;120;131;101;39;0%;0%;1863;0%;10%;3%;76%;13;207;69%;65%;62%;0%;1%;0%;1%;0%;0%;1%;0%;1%;69;0%;6%;0%;24%;0%;37%;0;0,2;0;0,9;63%;100%;75%;0%;1;1,1;0,8;0;75%;100%;1,5;19,7;11%;100%;100%;0,1;5,2;5,3;100%;81%;73%;11%;2,3;1,4;1;0,1;100%;100%;100%;4;4,6;44;90%;100%
Rotterdam Centrum;3003;Nieuwe Werk/Dijkzigt;103;115;90;112;98;88;63;0%;0%;2897;52%;16%;3%;69%;0;212;76%;70%;70%;0%;18%;8%;5%;0%;9%;2%;1%;4%;69;0%;4%;71%;52%;51%;52%;1,1;0,5;0,5;0,5;9%;19%;0%;0%;0,1;0,2;0;0;9%;100%;0,2;15,1;10%;17%;100%;0,1;0,4;1,5;90%;89%;51%;1%;5,1;3;0,7;0;9%;100%;100%;0,1;4,6;34,2;81%;88%
Rotterdam Centrum;4000;Rotterdam Centrum;104;105;103;122;114;112;64;13%;0%;2079;35%;9%;4%;75%;258;143;62%;54%;55%;1%;7%;3%;5%;2%;6%;3%;1%;1%;29;1%;6%;91%;91%;90%;92%;3,6;2,5;3,2;3,4;45%;72%;64%;0%;0,6;0,8;0,6;0;33%;100%;0,4;19,5;31%;57%;95%;0,6;1,3;3,2;99%;84%;91%;72%;5,5;1,9;4,4;1;70%;100%;100%;1,3;5,8;43,2;87%;73%
Rozenburg;4;Rozenburg;114;122;106;126;111;65;122;0%;7%;1614;;4%;3%;80%;164;294;78%;67%;71%;1%;27%;4%;0%;16%;11%;4%;3%;8%;3;1%;7%;32%;37%;37%;39%;0,4;0,4;0,5;0,5;8%;67%;62%;73%;0,1;0,7;0,6;0,7;0%;0%;0;0;24%;53%;60%;0,4;0,5;0,6;50%;41%;22%;18%;0,8;0,5;0,2;0,2;61%;0%;0%;0,9;0;0;59%;69%
Rozenburg;4013;Rozenburg;114;122;106;126;111;65;122;0%;7%;1614;;4%;3%;80%;164;294;78%;67%;71%;1%;27%;4%;0%;16%;11%;4%;3%;8%;3;1%;7%;32%;37%;37%;39%;0,4;0,4;0,5;0,5;8%;67%;62%;73%;0,1;0,7;0,6;0,7;0%;0%;0;0;24%;53%;60%;0,4;0,5;0,6;50%;41%;22%;18%;0,8;0,5;0,2;0,2;61%;0%;0%;0,9;0;0;59%;69%
Rotterdam;5000;Rotterdam;107;103;112;108;106;102;132;24%;3%;1644;41%;5%;7%;76%;179;188;60%;51%;50%;3%;21%;4%;5%;7%;25%;6%;2%;3%;11;2%;7%;62%;62%;62%;62%;2,2;1,8;2,1;2,1;56%;74%;54%;63%;0,9;1,1;0,6;1,3;70%;74%;1,2;9,6;52%;69%;67%;0,8;1,7;1,5;74%;66%;71%;61%;2,2;1,5;2,4;0,8;69%;71%;73%;1,2;1,9;14,7;68%;55%
